	shopname	address	phone	website	longitude	latitude
0	Tiago Espresso Bar + Kitchen	7080 Hollywood Blvd, Los Angeles, CA 90028	(323) 466-5600	http://www.tiagocoffee.com	-118.3444103	34.1010728
1	The Downbeat Cafe	1202 N Alvarado St, Los Angeles, CA 90026	(213) 483-3955	not found	-118.2628906	34.0782495
2	27th Street Bakery	2700 S Central Ave, Los Angeles, CA 90011	(323) 233-3469	not found	-118.2552256	34.01752
3	The Coffee Bean & Tea Leaf	700 World Way, Los Angeles, CA 90045	(310) 646-5252	http://coffeebean.com	-118.4013612	33.9430214
4	Dragon Espresso Bar	240 N Virgil Ave, Los Angeles, CA 90004	(323) 944-2133	not found	-118.2865268	34.075958
5	Cr Entertainment	1125 Crenshaw Blvd, Los Angeles, CA 90019	(323) 954-6499	not found	-118.324632	34.0524006
6	Gyocha Cafe	1277 N Wilton Pl, Los Angeles, CA 90038	(323) 466-4157	not found	-118.3137286	34.0945059
7	Em&#39s Artist Cafe	2926 La Cienega Blvd, Culver City, CA 90232	(323) 931-4564	not found	-118.3734163	34.0320746
8	Euro Cafe	707 Wilshire Blvd, Los Angeles, CA 90017	(213) 688-4960	not found	-118.2569947	34.0492347
9	Maxwell Cafe	13329 W Washington Blvd, Los Angeles, CA 90066	(310) 306-7829	http://maxwellcafe.nl	-118.4431257	33.9928423
10	Starbucks Coffee	5857 S Central Ave, Los Angeles, CA 90001	(323) 521-1535	http://www.starbucks.com	-118.2574753	33.9880813
11	Cafe Alibi	84 S Fair Oaks Ave, Pasadena, CA 91105	(626) 577-5779	not found	-118.1502415	34.1441716
12	Joom Bangkok Cafe	7825 Beverly Blvd, Los Angeles, CA 90036	(323) 938-9650	http://www.joombangkok.com	-118.360796	34.0763797
13	Eurotal	500 World Way, Los Angeles, CA 90045	(310) 645-2121	not found	-118.40456	33.9413157
14	Winchell&#39s Donuts	2100 Beverly Blvd, Los Angeles, CA 90057	(213) 483-6605	http://www.winchells.com	-118.2707471	34.0663982
15	Eureka Cafe	4053 W Washington Blvd, Los Angeles, CA 90018	(323) 732-8600	not found	-118.327301	34.040163
16	Short Cake	6333 W 3rd St # 316, Los Angeles, CA 90036	(323) 761-7976	not found	-118.3605725	34.0717892
